temperature_K,MagpieData mean MeltingT,MagpieData mean NUnfilled,MagpieData avg_dev CovalentRadius,MagpieData mean GSvolume_pa,MagpieData mean Number,dopant_concentration,MagpieData mean NpUnfilled,MagpieData mean MendeleevNumber,dopant_host_radius_mismatch,dopant_host_charge_mismatch,target_value
575.0,900.8814814814816,2.0987654320987654,2.299039780521265,29.27668937134691,49.97530864197531,0.1,1.7530864197530864,82.2716049382716,0.0699999999999999,1.0,11.5
300.0,892.6602,1.985,2.517500000000002,29.322554597684498,50.645,0.02,1.735,82.43,0.2599999999999999,1.0,10.0
425.0,900.8919625,1.9705,2.600639250000005,29.129524166649997,50.441,0.059,1.70575,82.205,0.39,2.0,20.6
523.0,776.9714392991239,2.013767209011264,11.109005155067116,24.87239048811014,41.95369211514393,0.06,1.7634543178973716,81.93617021276596,0.43,1.0,7.499999999999999
300.0,877.056201923077,2.0697115384615383,2.323779585798824,30.154134615367305,50.75721153846154,0.01,1.8677884615384617,83.44711538461537,0.1079999999999999,0.0,17.0
575.0,916.072098765432,2.148148148148148,2.299039780521265,28.756382857937034,49.333333333333336,0.2,1.6790123456790125,81.45679012345678,0.0699999999999999,1.0,8.000000000000002
570.0,889.3128999999999,1.97,2.5350000000000037,29.290942528719,50.790000000000006,0.04,1.72,82.36,0.2599999999999999,1.0,18.6
500.0,883.7026829268294,2.048780487804878,2.2807852468768792,29.857560975592683,50.63414634146343,0.9,1.829268292682927,83.17073170731707,0.0,0.0,12.0
425.0,897.4148874999998,1.9915,2.5295332499999965,29.28943916665,50.483,0.017,1.73725,82.41499999999999,0.39,2.0,19.700000000000003
523.0,900.4836,2.03,2.8699499999999976,29.358191666649997,50.44,0.02,1.735,82.135,0.14,0.0,17.7
623.0,899.0983249999999,1.99625,2.528124999999997,29.27451666665,50.41375,0.015,1.73875,82.41,0.16,1.0,13.099999999999998
323.0,902.3623940149624,2.007481296758105,2.522372373306131,29.211820448861097,50.31670822942643,0.03,1.7281795511221945,82.29426433915212,0.1149999999999999,0.0,12.0
550.0,887.43275,2.0,2.837499999999994,29.02254166665125,49.825,0.15,1.75,82.4625,0.2299999999999997,0.0,14.5
300.0,892.4522749999999,2.015,2.51841249999999,29.299416666649996,50.485,0.03,1.765,82.425,0.0399999999999999,0.0,11.5
550.0,887.43275,2.0,2.837499999999994,29.02254166665125,49.825,0.15,1.75,82.4625,0.2299999999999997,0.0,14.5
673.0,777.1660696517413,1.9701492537313432,11.049726491918518,24.817363184079607,41.43283582089553,0.04,1.7213930348258708,81.88557213930349,0.19,1.0,7.84
600.0,892.4799249437078,2.0110082561921443,2.483921985772527,29.402267116987737,50.5028771578684,0.03,1.7633224918689017,82.514385789342,0.07,1.0,13.8
300.0,882.7538000000001,1.985,2.747499999999993,29.120941666651248,49.3,0.06,1.75,82.50750000000001,0.43,1.0,8.0
573.0,895.0545333333333,1.6666666666666667,3.0975999999999986,28.54875555553333,50.093333333333334,0.04,1.3333333333333333,81.65333333333332,0.42,1.0,11.000000000000002
610.0,887.6729999999999,1.9625,2.8662499999999973,28.914166666651248,49.3375,0.05,1.7125,82.25,0.04,1.0,18.999999999999996
325.0,893.286172839506,2.0740740740740744,2.299039780521265,29.536842628051847,50.2962962962963,0.05,1.7901234567901236,82.67901234567901,0.0699999999999999,1.0,7.0
