dopant_host_charge_mismatch,dopant_concentration,temperature_K,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum MendeleevNumber,MagpieData maximum Electronegativity,MagpieData mean SpaceGroupNumber,frac_Sb,frac s valence electrons,dopant_host_radius_mismatch,target_value
1.0,0.04,300.0,0.5244000000000001,29.17816666665,90.0,2.1,174.03,0.24,0.1209398756046993,0.02,160.0
1.0,0.02,300.0,0.5123500000000001,29.293841666649996,90.0,2.1,173.89,0.245,0.1208146358301691,0.19,150.0
1.0,0.06,300.0,0.53615,29.17319166665,90.0,2.1,174.17,0.235,0.1210653753026634,0.19,222.0
1.0,0.04,300.0,0.5244000000000001,29.17816666665,90.0,2.1,174.03,0.24,0.1209398756046993,0.02,160.0
1.0,0.04,475.0,0.5244000000000001,29.17816666665,90.0,2.1,174.03,0.24,0.1209398756046993,0.02,145.0
1.0,0.04,632.0,0.5244000000000001,29.17816666665,90.0,2.1,174.03,0.24,0.1209398756046993,0.02,227.0
1.0,0.04,300.0,0.4622222222222222,28.587288888866663,90.0,2.1,175.92,0.0,0.1171003717472119,0.02,145.0
1.0,0.04,475.0,0.4622222222222222,28.587288888866663,90.0,2.1,175.92,0.0,0.1171003717472119,0.02,145.0
1.0,0.04,632.0,0.4622222222222222,28.587288888866663,90.0,2.1,175.92,0.0,0.1171003717472119,0.02,227.0
0.0,0.02,323.0,0.5,29.3099499999835,90.0,2.55,173.06,0.25,0.1206896551724138,0.2299999999999997,160.0
0.0,0.01,673.0,0.5806675295857988,30.16163461536731,90.0,2.1,170.71153846153848,0.2764423076923076,0.1224422982484858,0.2499999999999999,250.0
0.0,0.01,673.0,0.5143421782544378,30.154134615367305,90.0,2.1,170.78605769230768,0.2764423076923076,0.1222022545335729,0.1079999999999999,230.0
0.0,0.01,300.0,0.5806675295857988,30.16163461536731,90.0,2.1,170.71153846153848,0.2764423076923076,0.1224422982484858,0.2499999999999999,220.0
0.0,0.01,300.0,0.5143421782544378,30.154134615367305,90.0,2.1,170.78605769230768,0.2764423076923076,0.1222022545335729,0.1079999999999999,210.0
1.0,0.01,300.0,0.5130131286982248,30.09872596152115,90.0,2.1,170.78605769230768,0.2764423076923076,0.1221386527141922,0.03,200.0
0.0,0.9,300.0,0.5104104699583581,29.857560975592683,90.0,2.1,171.78048780487805,0.2682926829268293,0.1216666666666666,0.0,800.0
1.0,0.06,300.0,0.5224999999999999,29.38004166665,90.0,2.1,173.375,0.235,0.1208146358301691,0.07,231.0
1.0,0.06,300.0,0.5224999999999999,29.38004166665,90.0,2.1,173.375,0.235,0.1208146358301691,0.07,231.0
